week_key,week_index,week_ordinal,week_start,week_end,is_full_week
2026-W15,202615,1,2026-04-06,2026-04-12,1
2026-W16,202616,2,2026-04-13,2026-04-19,1
2026-W17,202617,3,2026-04-20,2026-04-26,1
2026-W18,202618,4,2026-04-27,2026-05-03,1
2026-W19,202619,5,2026-05-04,2026-05-10,1
2026-W20,202620,6,2026-05-11,2026-05-17,1
2026-W21,202621,7,2026-05-18,2026-05-24,1
2026-W22,202622,8,2026-05-25,2026-05-31,1
2026-W23,202623,9,2026-06-01,2026-06-07,1
2026-W24,202624,10,2026-06-08,2026-06-14,1
2026-W25,202625,11,2026-06-15,2026-06-21,1
2026-W26,202626,12,2026-06-22,2026-06-28,1
2026-W27,202627,13,2026-06-29,2026-07-05,1
2026-W28,202628,14,2026-07-06,2026-07-12,1
2026-W29,202629,15,2026-07-13,2026-07-19,0
